run,monopho_score,dipho_score,hadron_score
53,6.256896449485794e-05,2.7155266923983845e-10,0.9999374151229858
54,0.0,1.0,0.0
54,0.0035291744861751795,9.046119430790311e-14,0.9964708089828491
54,0.0006523141637444496,2.5947341538291695e-14,0.9993476867675781
54,1.6284027879009955e-05,1.1275575742195065e-12,0.9999836087226868
54,0.0002697315358091146,7.707592897254756e-11,0.9997302293777466
54,2.807597047649324e-05,6.641610872382131e-11,0.9999718070030212
55,0.0,1.0,2.284116496849452e-43
56,0.0,1.0,0.0
57,0.999997079372406,1.68336242722944e-07,2.7382554890209576e-06
57,0.00038416346069425344,0.010104473680257797,0.9895113110542297
58,4.7440982710198357e-20,6.69654803681888e-15,1.0
59,0.0,1.0,0.0
59,2.2466236259788275e-05,2.508778775001108e-11,0.9999775290489197
59,2.660585960256867e-05,5.3715483450123e-11,0.9999734163284302
60,1.7787741512349143e-29,1.0,1.9517723599882713e-18
61,0.0,1.0,0.0
61,2.916060657298658e-05,7.011154157243737e-11,0.9999707937240601
62,0.9364845752716064,0.0635034441947937,1.2065469491062686e-05
62,3.304246320112725e-06,0.9980117678642273,0.0019850111566483974
63,2.750300469961032e-39,1.0,1.576628390082528e-36
64,9.190422133542597e-05,0.9999081492424011,4.423699451194807e-08
65,0.9367066621780396,0.007561587728559971,0.05573178082704544
66,0.0,1.0,0.0
67,0.0,1.0,0.0
67,5.181072992854752e-07,2.920365847918572e-22,0.9999995231628418
67,3.177533653797582e-05,7.837545890065911e-11,0.9999681711196899
68,0.0,1.0,0.0
68,0.0003762395936064422,1.1561510776525452e-10,0.9996237754821777
69,0.000988426385447383,0.9970243573188782,0.0019871892873197794
70,6.6931759979856995e-40,1.0,0.0
70,0.00022982490190770477,2.427341314059639e-12,0.9997701644897461
71,0.0,1.0,0.0
72,9.174634328100112e-29,1.0,2.6238949406881475e-39
72,0.00010988832946168259,6.236710908998078e-13,0.9998900890350342
73,3.2547959430872526e-41,1.0,6.781920169935285e-16
73,0.0022754608653485775,6.147611308904288e-10,0.9977246522903442
74,0.30285605788230896,0.10505922883749008,0.5920846462249756
74,0.9992503523826599,1.4075909575694823e-06,0.0007482667570002377
74,6.165140075609088e-05,1.0755736172584143e-13,0.9999383687973022
75,4.868356336373836e-05,9.997995320532027e-09,0.9999513626098633
75,0.33498069643974304,0.02457735687494278,0.6404420137405396
75,4.177647497272119e-06,7.212831135312847e-13,0.999995768070221
76,1.2254149894263642e-26,1.0,4.2196763444524166e-11
76,3.9079786802176386e-05,1.1249981501926243e-10,0.9999608993530273
77,1.1686784091580193e-05,0.999988317489624,7.910064096783298e-12
78,0.0,1.0,6.451653090250218e-18
78,2.6704899937612936e-05,5.684057391430741e-11,0.9999733567237854
79,0.0,1.0,0.0
80,0.0,1.0,0.0
81,0.0,1.0,9.80908925027372e-45
82,2.253338870636081e-36,1.0,0.0
83,0.0,1.0,0.0
83,1.2783875718014315e-06,6.7315347327052185e-15,0.9999986886978149
83,6.617107283091173e-05,2.9212751662122116e-10,0.9999338388442993
83,2.1778261725557968e-05,2.0402997000235068e-11,0.9999781847000122
84,0.0,1.0,1.2611686178923354e-44
84,0.0006707272841595113,1.9915535887093938e-08,0.9993293285369873
85,0.00017896680219564587,0.9690291881561279,0.030791880562901497
85,0.0001493066520197317,9.187378437777553e-15,0.9998505711555481
85,9.226401743944734e-05,2.994651140397764e-07,0.999907374382019
85,3.545052095432766e-05,9.356441316166197e-11,0.9999646544456482
86,4.191170522617471e-14,2.010167926682275e-32,1.0
86,2.8359954740153626e-05,4.223330019037519e-12,0.9999716877937317
87,1.994312560143972e-39,1.0,2.5091650302200174e-41
87,3.1324652809416875e-05,7.674600538409848e-11,0.9999686479568481
88,0.0,1.0,0.0
88,2.375617805228103e-05,3.4840411263468984e-13,0.9999762177467346
89,0.0,1.0,0.0
90,0.0029773064889013767,3.106164876953699e-05,0.9969916343688965
90,0.0017069968162104487,1.6232089414928183e-16,0.9982929229736328
90,0.0009953657863661647,0.6081621646881104,0.3908425271511078
91,0.0,1.0,0.0
92,0.0,1.0,0.0
93,0.0,1.0,0.0
94,0.9321459531784058,4.899602117802715e-06,0.06784912943840027
